cik,cusip6,cusip9
0000033213,26884L,26884L109
0000033213,294549,294549100
0000033488,269056,269056104
0000033488,296056,296056104
0000033533,296650,296650104
0000033619,297425,297425100
0000033619,297425,297425101
0000033656,297659,297659
0000033769,096761,096761101
0000033798,399215,399215101
0000033934,268953,268953106
0000033934,300723,300723103
0000034067,23291C,23291C103
0000034088,30231G,30231G102
0000034115,179584,179584107
0000034151,47758P,47758P307
0000034285,775990,775990310
0000034408,307000,307000109
0000034501,307387,307387100
0000034501,307387,307387101
0000034563,307675,307675108
0000034629,311648,311648109
0000034629,311648,311648119
0000034879,313549,313549101
0000034879,313549,313549107
0000034891,313693,31369310
0000034891,313693,313693101
0000034891,313693,313693103
0000034903,053469,053469102
0000034903,313745,313745101
0000034903,313747,313747201
0000034903,313747,313747206
0000034903,313747,313747404
0000034908,313819,313819104
0000034945,31410J,31410J100
0000034945,31410J,31410J107
0000035214,315405,315405100
0000035214,315405,315405101
0000035469,316549,316549101
0000035469,316549,316549104
0000035527,316773,316773100
0000035733,317574,317574101
0000036047,21871D,21871D103
0000036047,318522,318522307
0000036047,666499,666499108
0000036146,898402,898402102
0000036161,319455,319455101
0000036270,55261F,55261F104
0000036326,320245,320245103
0000036369,0001PT,0001PT
0000036369,320488,320488199
0000036405,92204A,92204A876
0000036405,922908,922908553
0000036405,922908,922908595
0000036405,922908,922908637
0000036672,060716,060716100
0000036672,060716,060716107
0000036840,336142,336142
0000036966,320517,320517105
0000037008,337400,337400010
0000037008,707832,707832200
0000037008,976391,976391300
0000037472,339382,339382101
0000037472,339382,339382103
0000037643,341135,341135101
0000037651,341140,341140101
0000037748,343861,343861100
0000037748,576206,576206106
0000037755,361106,361106107
0000037808,302520,302520101
0000037931,897844,897844106
0000037996,097023,097023105
0000037996,345370,345370860
0000037996,448579,448579102
0000038067,345550,34555010
0000038067,345550,345550101
0000038067,345550,345550107
0000038079,346091,346091101
0000038079,346091,346091705
0000038195,347461,347461105
0000038242,349681,349681106
0000038321,350244,350244109
0000038725,353514,353514102
0000038777,097383,097383103
0000038777,354613,354613101
0000038851,885184,885184101
0000038984,357288,357288100
0000038984,357288,357288101
0000039020,358010,358010101
0000039020,358010,358010106
0000039135,358497,358497105
0000039135,761183,761183102
0000039263,229899,229899109
0000039273,359360,359360104
0000039311,453838,453838104
0000039368,359694,359694106
0000039547,004935,004935102
0000039547,591695,591695100
0000039547,591695,591695101
0000039547,591695,591695200
0000039677,053494,053494100
0000039677,053494,053494101
0000039838,364424,364424101
0000039911,364760,364760101
0000039911,364760,364760108
0000039911,375175,375175106
0000040194,367600,36760030
0000040211,361448,361448103
0000040461,369154,369154109
0000040493,41163G,41163G101
0000040518,369487,369487103
0000040545,369604,369604103
0000040656,370787,370787103
0000040704,370334,370334104
0000040730,370442,370442105
0000040730,370442,370442402
0000040730,370442,370442501
0000040730,370442,370442733
0000040730,370442,370442741
0000040730,370442,370442832
0000040730,370447,37044741
0000040779,370550,370550105
0000040834,370838,370838
0000040834,370838,370838104
0000040888,368682,368682100
0000040956,397627,39762710
0000040972,372447,372447102
0000040987,260543,260543103
0000040987,372460,372460105
0000041023,372476,372476101
0000041052,09852W,09852W109
0000041077,373298,373298108
0000041077,373298,373298702
0000041133,373730,373730100
0000041133,373730,373730101
0000041296,374503,374503100
0000041719,377316,377316104
0000041850,379352,379352401
0000042136,380724,380724104
0000042179,466145,466145109
0000042542,382388,382388101
0000042582,37246W,37246W105
0000042582,382550,382550101
0000042582,884315,884315102
0000042682,383082,383082104
0000042888,384109,384109101
0000042888,384109,384109104
0000043196,001691,001691001
0000043196,389190,389190128
0000043196,389190,389190208
0000043196,389375,389375106
0000043362,390568,390568103
0000043920,397624,397624107
0000044358,401192,401192100
0000044471,401794,401794101
0000044471,401794,401794102
0000044471,401794,401794201
0000044570,025508,02550867
0000044570,402550,402550602
0000044570,402550,402550867
0000044689,871206,871206405
0000045012,406216,406216101
0000045370,410522,410522106
0000045599,412693,412693103
0000045635,413136,413136102
0000045674,172574,172574105
0000045674,413459,413459101
0000045791,703555,703555201
0000045919,416196,416196103
0000045919,416196,416196202
0000046012,417434,417434301
0000046012,417434,417434305
0000046026,398613,398613101
0000046080,418056,418056107
0000046195,062540,062540109
0000046195,694058,694058101
0000046207,419866,419866850
0000046207,419870,419870100
0000046250,202611,20261109
0000046250,420261,420261109
0000046267,420542,420542102
0000046445,404238,404238101
0000046517,422660,422660209
0000046601,422893,422893107
0000046619,422806,422806109
0000046619,422806,422806208
0000046640,423074,423074100
0000046640,423074,423074103
0000046738,423328,423328103
0000046765,423452,423452101
0000046989,884315,884315102
0000047035,140501,140501107
0000047035,427398,427398101
0000047035,887100,887100105
0000047111,427866,427866101
0000047111,427866,427866108
0000047217,40434L,40434L105
0000047217,428236,428236103
0000047288,428656,428656102
0000047307,428839,428839104
0000047518,431475,431475102
0000047580,432848,432848109
0000047580,432848,432848208
0000047710,433578,433578507
0000048039,435758,435758301
0000048039,436106,436106108
0000048272,210300,21030001
0000048287,404251,404251100
0000048465,440452,440452100
0000048595,053469,053469102
0000048638,441560,441560109
0000048638,462622,462622
0000048821,443051,443051107
0000048898,223767,223767104
0000048898,443510,443510102
0000048898,443510,443510201
0000048898,443510,443510607
0000049029,444482,444482103
0000049146,445591,445591100
0000049146,445636,445636101
0000049146,445911,44591100
0000049196,446150,446150104
0000049401,448632,448632208
0000049401,804120,804120201
0000049401,804120,804120202
0000049573,96647K,96647K102
0000049600,053469,053469102
0000049600,277276,277276101
0000049615,449489,449489103
0000049728,44949L,44949L105
0000049754,449623,449623101
0000049754,449623,449623107
0000049816,452092,452092100
0000049816,452092,452092109
0000049816,452092,452092703
0000049826,452308,452308109
0000049975,17179X,17179X106
0000049996,453258,453258401
0000049996,453258,453258402
0000050104,03349M,03349M105
0000050104,881609,881609101
0000050361,632281,632281101
0000050485,456866,456866102
0000050493,457030,457030101
0000050493,457030,457030104
0000050601,114537,114537103
0000050601,457647,457647105
0000050601,457647,45764713
0000050601,457671,457671051
0000050710,471894,471894105
0000050725,398433,398433102
0000050957,360921,360921100
0000050957,458507,458507126
0000050957,458507,45850713
0000051103,458884,458884101
0000051143,446413,446413106
0000051143,459200,459200101
0000051253,459506,459506101
0000051410,460043,460043102
0000051434,460146,460146103
0000051548,460335,460335
0000051548,460335,460335201
0000051548,460335,460335300
0000051644,460690,460690100
0000051666,90403T,90403T100
0000051939,768200,768200107
0000052466,462218,462218101
0000052466,462218,462218108
0000052477,449223,449223100
0000052477,449223,449223106
0000052532,589354,589354101
0000052795,035290,035290105
0000052795,320960,320960107
0000052827,101137,101137107
0000052827,754907,754907103
0000052848,921910,921910709
0000052848,92204A,92204A108
0000052848,92204A,92204A207
0000052848,92204A,92204A306
0000052848,92204A,92204A405
0000052848,92204A,92204A504
0000052848,92204A,92204A603
0000052848,92204A,92204A801
0000052848,92204A,92204A876
0000052848,92204A,92204A884
0000052971,469783,469783104
0000052988,469814,46981410
0000052988,469814,469814107
0000052988,46982L,46982L108
0000053117,470349,470349887
0000053347,475070,47507018
0000053456,476556,47655686
0000054381,483548,483548103
0000054441,98389J,98389J103
0000054480,485170,485170104
0000054480,485170,485170302
0000054502,482620,482620101
0000054502,49455P,49455P101
0000054507,95709T,95709T100
0000054507,959425,959425109
0000054883,486665,48666510
0000054883,486665,486665102
0000055067,487836,487836108
0000055080,488044,488044108
0000055195,488396,488396102
0000055242,489170,489170100
0000055458,492386,492386100
0000055458,492386,492386107
0000055529,492854,492854104
0000055642,493503,493503101
0000055698,114537,114537103
0000055772,494274,494274103
0000055772,494274,494274202
0000055785,494368,494368103
0000055820,G3075P,G3075P101
0000056047,497266,49726610
0000056047,497266,497266106
0000056151,498017,498017102
0000056316,482516,482516100
0000056316,482516,482516101
0000056583,500440,500440102
0000056679,500643,500643200
0000056701,500692,500692108
0000056824,000005,000005682
0000056824,482584,482584101
0000056873,501044,501044101
0000056873,74967X,74967X103
0000056955,501206,501206101
0000056955,501206,501206106
0000056978,501242,501242101
0000057055,482740,482740201
0000057055,482740,482740206
0000057131,505336,505336101
0000057131,505336,505336107
0000057183,505597,505597104
0000057187,505606,505606202
0000057497,513696,513696101
0000057497,513696,513696104
0000057515,513847,513847103
0000057528,514606,514606102
0000058172,522016,522016101
0000058172,522016,522016104
0000058361,523768,523768109
0000058492,524660,524660107
0000058526,502439,502439401
0000058526,524816,524816105
0000058526,552676,55267640
0000058592,350865,350865101
0000059229,530370,530370105
0000059478,380002,380002105
0000059527,533900,533900106
0000059558,534187,534187101
0000059558,534187,534187109
0000059870,537581,537581100
0000060064,540407,540407102
0000060064,540417,540417102
0000060086,260543,260543103
0000060128,541410,541410106
0000060150,541535,541535100
0000060195,542290,542290401
0000060251,542671,542671102
0000060302,543213,543213102
0000060512,546268,546268101
0000060512,546268,546268103
0000060519,546347,546347105
0000060667,548661,548661107
0000060714,502160,502160104
0000060731,501921,501921100
0000060751,549271,549271100
0000060751,549271,549271104
0000060860,549661,549661011
0000060860,549866,549866101
0000060876,23252E,23252E106
0000060977,550819,550819101
0000060977,550819,550819106
0000061138,098586,098586100
0000061227,128787,12878710
0000061227,165159,16515910
0000061227,701018,70101810
0000061227,902646,902646405
0000061227,911920,91192010
0000061265,554783,554783201
0000061398,559091,559091301
0000061398,87968A,87968A104
0000061478,000886,000886101
0000061478,000886,000886309
0000061611,560483,560483109
0000061927,782309,782309108
0000061986,563571,563571108
0000061986,563571,563571405
0000062072,56418H,56418H100
0000062234,566330,566330106
0000062262,86562T,86562T105
0000062737,571783,571783208
0000062737,571783,571783307
0000062765,572393,572393106
0000062996,574599,574599
0000062996,574599,574599106
0000063118,92224R,92224R600
